document_number,comment_id,category,agency
2025-11463,FNS-2025-0024-0313,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0234,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0376,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0224,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0449,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0218,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0144,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0072,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0338,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0169,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0442,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0258,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0407,Political Consultant/Lobbyist,Agriculture Department
2025-11463,FNS-2025-0024-0132,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0076,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0254,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0306,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0230,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0292,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0198,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0423,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0156,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0424,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0082,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0191,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0037,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0389,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0353,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0405,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0402,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0249,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0330,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0226,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0403,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0413,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0331,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0011,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0268,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0160,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0451,Political Consultant/Lobbyist,Agriculture Department
2025-11463,FNS-2025-0024-0090,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0151,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0454,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0327,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0276,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0105,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0192,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0159,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0229,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0241,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0310,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0385,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0084,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0149,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0035,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0137,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0398,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0188,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0444,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0078,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0262,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0284,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0190,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0395,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0214,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0039,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0213,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0352,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0379,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0176,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0231,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0272,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0067,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0378,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0418,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0221,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0089,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0177,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0080,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0203,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0098,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0002,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0031,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0283,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0317,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0270,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0150,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0434,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0120,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0073,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0047,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0239,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0250,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0459,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0040,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0296,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0069,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0401,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0172,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0232,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0092,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0059,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0060,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0187,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0386,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0437,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0184,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0372,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0450,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0253,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0175,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0096,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0263,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0316,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0332,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0356,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0419,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0381,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0155,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0267,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0431,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0055,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0127,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0247,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0066,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0404,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0185,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0077,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0209,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0223,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0457,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0036,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0216,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0008,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0318,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0233,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0048,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0071,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0304,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0222,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0140,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0275,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0167,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0013,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0122,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0273,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0280,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0440,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0026,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0133,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0430,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0199,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0041,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0293,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0322,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0329,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0050,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0290,Organization/Corporation,Agriculture Department
2025-04545,AMS-LP-24-0072-0004,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-11463,FNS-2025-0024-0043,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-15828,AMS-FGIS-25-0254-0002,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-19224,AMS-SC-24-0076-0004,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-04545,AMS-LP-24-0072-0008,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2025-19224,AMS-SC-24-0076-0005,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-04545,AMS-LP-24-0072-0007,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2025-04545,AMS-LP-24-0072-0006,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2025-19224,AMS-SC-24-0076-0006,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-04545,AMS-LP-24-0072-0005,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2025-19224,AMS-SC-24-0076-0007,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-19224,AMS-SC-24-0076-0008,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-19224,AMS-SC-24-0076-0003,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-19224,AMS-SC-24-0076-0009,Undecided/Anonymous,"Agriculture Department, Agricultural Marketing Service"
2025-19224,AMS-SC-24-0076-0011,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2025-19151,AMS-SC-24-0080-0002,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-19151,AMS-SC-24-0080-0004,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-3641,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5901,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5598,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4841,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-3806,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-19224,AMS-SC-24-0076-0010,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6324,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-3518,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-19151,AMS-SC-24-0080-0003,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5852,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4227,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6254,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4204,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6453,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-3685,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-8302,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4067,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6997,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4501,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7654,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4415,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4362,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6318,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7929,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4255,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-8074,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5583,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6854,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7532,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7433,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4379,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4917,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-3526,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-8306,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7727,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-3640,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5175,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7921,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4913,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7491,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6870,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7379,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-8098,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5855,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6101,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6749,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-8370,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5187,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6908,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-3795,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5586,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4427,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7884,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7822,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7089,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5587,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5402,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-8160,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4062,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4493,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4420,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7990,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6486,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-3787,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5471,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6337,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6605,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5120,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7111,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4668,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-3847,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7045,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5261,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5333,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-5195,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-3537,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-8246,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-3472,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6038,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4986,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-8000,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4073,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-4134,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-6000,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7546,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-7548,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2025-08219,AMS-NOP-22-0063-8287,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
