document_number,comment_id,category,agency
2016-05835,AMS-NOP-15-0085-1897,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0866,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2107,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2383,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1106,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0274,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0694,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1826,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2674,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1990,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2588,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2425,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2184,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2302,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0485,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2128,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1376,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0417,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1781,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0449,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2459,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1289,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0650,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0300,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1180,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2122,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1174,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2799,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1268,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2001,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2954,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0586,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0496,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1795,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1941,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1414,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1838,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0257,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1565,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2676,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1008,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0964,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1510,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0163,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1018,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0045,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3745,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1382,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0388,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0995,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2528,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2350,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2532,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3974,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3557,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2021,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2363,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3807,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2577,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3059,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1163,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1486,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3036,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4242,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4557,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2421,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1855,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0426,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3370,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0202,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4649,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3092,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2659,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0164,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0357,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1567,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1021,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3046,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3834,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3555,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3100,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4290,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1867,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4949,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0100,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0984,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3395,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2838,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0806,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0574,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4122,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0203,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1087,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4184,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1044,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3667,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0606,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3871,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1620,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1464,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2324,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3541,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3788,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3766,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0033,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1843,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2440,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2737,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4355,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2225,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2342,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1623,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2960,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2055,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1091,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2637,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4447,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2223,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0197,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4219,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1305,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3668,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1064,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1082,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1444,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2301,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0916,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4889,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0816,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3130,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2209,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0442,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0174,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2262,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3221,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1601,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0483,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-0762,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3858,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2402,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4078,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-2818,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-3863,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1213,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4686,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-1019,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-08023,AMS-NOP-15-0012-4024,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
