document_number,comment_id,category,agency
2019-27631,DOT-OST-2019-0180-0105,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0106,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0107,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0108,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0109,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0110,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0111,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0112,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0113,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0114,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0115,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0116,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0117,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0118,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0119,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0120,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0121,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0122,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0123,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0124,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0125,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0126,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0127,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0128,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0129,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0130,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0131,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0132,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0052,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0133,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0134,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0135,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0136,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0137,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0138,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0139,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0140,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0141,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0142,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0143,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0144,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0145,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0146,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0147,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0148,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0149,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0150,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0151,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0152,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0153,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0154,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0155,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0156,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0157,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0158,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0159,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0160,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0161,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0162,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0163,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0164,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0165,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0166,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0167,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0168,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0169,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0170,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0171,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0172,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0173,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0174,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0175,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0176,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0177,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0178,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0179,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0180,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0181,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0182,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0183,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0184,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0185,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0186,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0187,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0188,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0189,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0190,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0191,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0192,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0193,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0194,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0195,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0196,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0197,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0198,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0199,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0200,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0201,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0202,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0203,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0204,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0205,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0206,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0207,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0208,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0209,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0210,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0211,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0212,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0213,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0214,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0215,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0216,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0217,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0218,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0219,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0220,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0221,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0222,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0223,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0224,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0225,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0226,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0227,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0228,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0229,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0230,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0231,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0232,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0233,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0234,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0235,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0236,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0237,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0238,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0239,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0240,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0241,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0242,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0243,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0244,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0245,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0246,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0247,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0248,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0249,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0250,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0251,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0252,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0253,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0254,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0255,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0256,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0257,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0258,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0259,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0260,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0261,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0262,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0263,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0264,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0265,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0266,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0267,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0268,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0269,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0270,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0271,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0272,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0273,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0274,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0275,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0276,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0277,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0278,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0279,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0280,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0281,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0282,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0283,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0284,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0285,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0286,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0287,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0288,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0289,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0290,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0291,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0292,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0293,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0294,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0295,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0296,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0297,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0298,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0299,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0300,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0301,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0302,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0303,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0304,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0305,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0306,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0307,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0308,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0309,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0310,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0312,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0313,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0314,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0315,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0316,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0317,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0318,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0319,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0320,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0321,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0322,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0324,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0325,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0326,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0329,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0340,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0311,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0323,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0327,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0330,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0331,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0332,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0333,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0334,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0335,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0336,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0337,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0338,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0339,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0341,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0342,Undecided/Anonymous,Transportation Department
2019-28339,EPA-HQ-OPP-2013-0251-0148,Undecided/Anonymous,Environmental Protection Agency
2019-28339,EPA-HQ-OPP-2013-0251-0148,Undecided/Anonymous,Environmental Protection Agency
2019-28339,EPA-HQ-OPP-2013-0251-0149,Ordinary Citizen,Environmental Protection Agency
