document_number,title,agency,publication_date,comment_url,comments_close_on,regs_document_id,comment_count,source
2017-28316,Agency Information Collection Activities; Proposed Collection (EPA ICR No. 1365.11); Comment Request,Environmental Protection Agency,2018-01-02,,2018-03-05,EPA-HQ-OPPT-2017-0319-0001,6,federalregister
2017-28301,Information Collection Being Submitted for Review and Approval to the Office of Management and Budget,Federal Communications Commission,2018-01-02,,2018-02-01,FCC-2018-0002-0001,0,federalregister
2017-28125,"Hours of Service of Drivers: Application for Exemption; Owner Operator Independent Drivers Association, Inc.","Transportation Department, Federal Motor Carrier Safety Administration",2018-01-02,,2018-02-01,FMCSA-2017-0356-0002,2832,federalregister
2017-28123,Hours of Service of Drivers: Application for Exemption; Association of Energy Service Companies,"Transportation Department, Federal Motor Carrier Safety Administration",2018-01-02,,2018-02-01,FMCSA-2017-0337-0002,8,federalregister
2017-28122,"Hours of Service of Drivers: Application for Exemption; American Disposal Services, Inc. (ADS)","Transportation Department, Federal Motor Carrier Safety Administration",2018-01-02,https://www.regulations.gov/commenton/FMCSA-2017-0361-0002,2018-02-01,FMCSA-2017-0361-0002,10,federalregister
2017-28296,"Agency Information Collection Activity Under OMB Review: CHAMP VA Benefits-Application, Claim, Other Health Insurance & Potential Liability",Veterans Affairs Department,2018-01-02,,2018-02-01,VA-2018-VACO-0001-0001,2,federalregister
2017-28167,"Tart Cherries Grown in the States of Michigan, et al.; Revision of Exemption Requirements","Agriculture Department, Agricultural Marketing Service",2018-01-02,,2018-02-01,AMS-SC-17-0047-0001,3,federalregister
2017-28149,"Airworthiness Directives; Bombardier, Inc., Airplanes","Transportation Department, Federal Aviation Administration",2018-01-02,,2018-02-16,FAA-2017-1175-0001,1,federalregister
2017-27438,Use of Spectrum Bands Above 24 GHz for Mobile Radio Services,Federal Communications Commission,2018-01-02,,2018-02-22,FCC-2018-0001-0001,0,federalregister
2017-28302,Endangered and Threatened Wildlife and Plants; Initiation of a 5-Year Status Review of the Alaska-Breeding Population of Steller's Eider,"Interior Department, Fish and Wildlife Service",2018-01-02,,2018-03-05,,0,federalregister
2017-28312,National Register of Historic Places; Notification of Pending Nominations and Related Actions,"Interior Department, National Park Service",2018-01-02,,2018-01-17,,0,federalregister
2017-28239,Utility Scale Wind Towers From China and Vietnam; Institution of Five-Year Reviews,International Trade Commission,2018-01-02,,2018-03-16,ITC-2018-0001-0001,0,federalregister
2017-28237,Clad Steel Plate From Japan; Institution of a Five-Year Review,International Trade Commission,2018-01-02,,2018-03-16,ITC-2018-0003-0001,0,federalregister
2017-28269,"Bulk Manufacturer of Controlled Substances Application: Organix, Inc.","Justice Department, Drug Enforcement Administration",2018-01-02,,2018-03-05,,0,federalregister
2017-28290,Proposed Agency Information Collection Activities; Comment Request,Federal Reserve System,2018-01-02,,2018-03-05,FRS-2018-0003-0001,0,federalregister
2017-28258,Agency Information Collection Activities; Proposed Collection; Comment Request; Food and Cosmetic Export Certificate Application Process,"Health and Human Services Department, Food and Drug Administration",2018-01-02,,2018-03-05,FDA-2014-N-2347-0008,2,federalregister
2017-28264,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Report of Changes That May Affect Your Black Lung Benefits,Labor Department,2018-01-02,,2018-02-01,DOL_FRDOC_0001-1159,1,federalregister
2017-28268,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Steel Erection Standard,Labor Department,2018-01-02,,2018-02-01,DOL_FRDOC_0001-1154,1,federalregister
2017-28267,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Unemployment Insurance State Quality Service Plan Planning and Reporting Guidelines,Labor Department,2018-01-02,,2018-02-01,DOL_FRDOC_0001-1153,0,federalregister
2017-28291,Proposed Collection; Comment Request,"Labor Department, Labor Statistics Bureau",2018-01-02,,2018-03-05,,0,federalregister
2017-28271,Yttrium-90 Microsphere Brachytherapy Sources and Devices TheraSphere® and SIR-Spheres®,Nuclear Regulatory Commission,2018-01-02,,2018-02-08,NRC-2017-0215-0024,19,federalregister
2017-28315,Certain New Chemicals; Receipt and Status Information for October 2017,Environmental Protection Agency,2018-01-02,,2018-02-01,EPA-HQ-OPPT-2017-0410-0001,4,federalregister
2017-27325,Consumer Leasing (Regulation M),Federal Reserve System,2018-01-03,,2018-03-05,FRS-2018-0004-0001,0,federalregister
2017-28298,National Environmental Policy Act Compliance,"Agriculture Department, Forest Service",2018-01-03,,2018-02-02,FS-2018-0004-0001,47357,federalregister
2017-28397,Request for Information on Strategies To Improve Adult Outcomes for Youth Receiving Supplemental Security Income (SSI),Social Security Administration,2018-01-03,,2018-02-02,SSA-2017-0049-0001,196,federalregister
2017-28426,Public Hearing,Susquehanna River Basin Commission,2018-01-03,,2018-02-12,SRBC-2018-0001-0001,0,federalregister
2017-28334,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Construction Standards on Posting Emergency Telephone Numbers and Floor Load Limits,Labor Department,2018-01-03,,2018-02-02,DOL_FRDOC_0001-1160,1,federalregister
2017-28337,Establishing Effectiveness for Drugs Intended To Treat Male Hypogonadotropic Hypogonadism Attributed to Non-Structural Disorders; Draft Guidance for Industry; Availability,"Health and Human Services Department, Food and Drug Administration",2018-01-03,,2018-03-05,FDA-2017-D-6759-0001,0,federalregister
2017-27746,Promoting Telehealth in Rural America,Federal Communications Commission,2018-01-03,,2018-02-20,FCC-2018-0004-0001,0,federalregister
2017-28402,Custer Gallatin National Forest; Montana; Revision of the Land Management Plan for the Custer Gallatin National Forest,"Agriculture Department, Forest Service",2018-01-03,,2018-03-05,FS-2018-0005-0001,115,federalregister
2017-28420,Proposed Information Collection; Comment Request; National Centers for Environmental Information Send2NCEI Web Application,"Commerce Department, National Oceanic and Atmospheric Administration",2018-01-03,,2018-03-05,,0,federalregister
2017-28336,Potash Corporation of Saskatchewan Inc. and Agrium Inc.; Analysis To Aid Public Comment,Federal Trade Commission,2018-01-03,,2018-01-29,FTC-2018-0001-0001,1,federalregister
2017-28382,Endangered and Threatened Wildlife and Plants; Permit Applications,"Interior Department, Fish and Wildlife Service",2018-01-03,,2018-02-02,,0,federalregister
2017-28385,Application for Right of Way Permit for an Ethane Pipeline and Approved Compatibility Determination; San Bernard National Wildlife Refuge,"Interior Department, Fish and Wildlife Service",2018-01-03,,2018-02-02,,0,federalregister
2017-28372,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Alternative Reporting Methods for Apprenticeship and Training Plans and Top Hat Plans,Labor Department,2018-01-03,,2018-02-02,DOL_FRDOC_0001-1161,1,federalregister
2017-28333,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Rehabilitation Action Report,Labor Department,2018-01-03,,2018-02-02,DOL_FRDOC_0001-1162,0,federalregister
2017-28331,"Department of Health and Human Services, Food and Drug Administration, Winchester Engineering and Analytical Center",Nuclear Regulatory Commission,2018-01-03,,2018-02-02,NRC-2017-0221-0001,0,federalregister
2017-27967,Freedom of Information Act Regulations,Securities and Exchange Commission,2018-01-03,,2018-02-02,SEC-2018-0011-0001,0,federalregister
2017-28411,"Submission for Review: Disabled Dependent Questionnaire, RI 30-10",Personnel Management Office,2018-01-03,,2018-02-02,OPM_FRDOC_0001-1364,0,federalregister
2017-28313,Endangered and Threatened Wildlife and Plants; Threatened Species Status for the Panama City Crayfish,"Interior Department, Fish and Wildlife Service",2018-01-03,,2018-03-05,FWS-R4-ES-2017-0061-0001,50,federalregister
2017-28491,Endangered and Threatened Wildlife and Plants; Endangered Species Status for Barrens Topminnow,"Interior Department, Fish and Wildlife Service",2018-01-04,,2018-03-05,FWS-R4-ES-2017-0094-0001,24,federalregister
2017-28498,Endangered Species Receipt of Permit Applications,"Interior Department, Fish and Wildlife Service",2018-01-04,,2018-02-05,FWS-HQ-IA-2017-0095-0001,3094,federalregister
2017-28467,National Register of Historic Places; Notification of Pending Nominations and Related Actions,"Interior Department, National Park Service",2018-01-04,,2018-01-19,,0,federalregister
2017-28471,"Importer of Controlled Substances Application: Sharp (Bethlehem), LLC","Justice Department, Drug Enforcement Administration",2018-01-04,,2018-02-05,,0,federalregister
2017-28444,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Investment Advice Participants and Beneficiaries,Labor Department,2018-01-04,,2018-02-05,DOL_FRDOC_0001-1163,1,federalregister
2017-28180,"Bulk Manufacturer of Controlled Substances Application: Organix, Inc.","Justice Department, Drug Enforcement Administration",2018-01-04,,2018-03-05,,0,federalregister
2017-28441,New Postal Products,Postal Regulatory Commission,2018-01-04,,2018-01-12,,0,federalregister
2017-28477,New Postal Products,Postal Regulatory Commission,2018-01-04,,2018-01-17,,0,federalregister
2017-28472,Information Collection Being Reviewed by the Federal Communications Commission Under Delegated Authority,Federal Communications Commission,2018-01-04,,2018-03-05,FCC-2018-0006-0001,0,federalregister
2017-28497,Agency Information Collection Activities: Submission for OMB Review; Comment Request,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2018-01-04,,2018-02-05,CMS-2018-0084-0001,0,federalregister
2017-28435,Good Abbreviated New Drug Application Submission Practices; Draft Guidance for Industry; Availability,"Health and Human Services Department, Food and Drug Administration",2018-01-04,,2018-03-05,FDA-2017-D-6854-0001,4,federalregister
2017-28490,"Proposed Graysmarsh Safe Harbor Agreement for the Taylor's Checkerspot Butterfly, Clallam County, Washington","Interior Department, Fish and Wildlife Service",2018-01-04,,2018-02-05,,0,federalregister
2017-28463,Agency Information Collection Activity Under OMB Review: Application of Surviving Spouse or Child for REPS Benefits,Veterans Affairs Department,2018-01-04,,2018-02-05,VA-2018-VACO-0001-0002,1,federalregister
2017-28433,Withdrawal of Certain Proposed Rules and Other Proposed Actions,Agriculture Department,2018-01-04,,,,0,federalregister
2017-28465,Endangered and Threatened Wildlife and Plants; Removing the Foskett Speckled Dace From the List of Endangered and Threatened Wildlife,"Interior Department, Fish and Wildlife Service",2018-01-04,,2018-03-05,FWS-R1-ES-2017-0051-0001,20,federalregister
2017-28499,"Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Survey on the Use of Funds Under Title II, Part A: Improving Teacher Quality State Grants-State-Level Activity Funds",Education Department,2018-01-04,,2018-02-05,ED-2017-ICCD-0122-0011,7,federalregister
2017-28473,Information Collections Being Reviewed by the Federal Communications Commission,Federal Communications Commission,2018-01-04,,2018-03-05,FCC-2018-0007-0001,0,federalregister
2017-28103,Definition of “Employer” Under Section 3(5) of ERISA-Association Health Plans,"Labor Department, Employee Benefits Security Administration",2018-01-05,,2018-03-06,EBSA-2018-0001-0001,905,federalregister
2018-00037,Air Plan Approval and Air Quality Designation; MO; Redesignation of the Missouri Portion of the St. Louis Missouri-Illinois Area to Attainment of the 1997 Annual Standard for Fine Particulate Matter and Approval of Associated Maintenance Plan,Environmental Protection Agency,2018-01-05,,2018-02-05,EPA-R07-OAR-2017-0734-0001,0,federalregister
2018-00049,Rogue River-Siskiyou National Forest; Oregon; Shasta Agness Landscape Restoration Project Environmental Impact Statement,"Agriculture Department, Forest Service",2018-01-05,,2018-02-05,FS-2018-0007-0001,11,federalregister
2018-00013,Parts and Accessories Necessary for Safe Operation; Application for an Exemption From the Agricultural and Food Transporters Conference of American Trucking Associations,"Transportation Department, Federal Motor Carrier Safety Administration",2018-01-05,,2018-02-05,FMCSA-2017-0319-0001,0,federalregister
2018-00003,Agency Information Collection Activity Under OMB Review: Department of Veterans Affairs Acquisition Regulation (VAAR),Veterans Affairs Department,2018-01-05,,2018-02-05,VA-2018-VACO-0001-0084,0,federalregister
2017-28507,Agency Information Collection Activity: DoD Referral to Integrated Disability Evaluation System (IDES),Veterans Affairs Department,2018-01-05,,2018-03-06,VA-2018-VACO-0001-0080,1,federalregister
2017-28510,"Agency Information Collection Activity Under OMB Review: Hematologic and Lymphatic Conditions, Including Leukemia Disability Benefits Questionnaire, Amyotrophic Lateral Sclerosis (Lou Gehrig's Disease) Disability Benefits Questionnaire, Peripheral Nerve Conditions (Not Including Diabetic Sensory-Motor Peripheral Neuropathy) Disability Benefits Questionnaire, Persian Gulf and Afghanistan Infectious Diseases Disability Benefits Questionnaire, Tuberculosis Disability Benefits Questionnaire, Kidney Conditions (Nephrology) Disability Benefits Questionnaire, Male Reproductive Organ Conditions Disability Benefits Questionnaire, Prostate Cancer Disability Benefits Questionnaire, Eating Disorders Disability Benefits Questionnaire, Mental Disorders (other than PTSD and Eating Disorders) Disability Benefits Questionnaire, Review Post Traumatic Stress Disorder (PTSD) Disability Benefits Questionnaire",Veterans Affairs Department,2018-01-05,,2018-02-05,VA-2018-VACO-0001-0081,0,federalregister
2018-00002,"Agency Information Collection Activity Under OMB Review: Department of Veterans Affairs Acquisition Regulation (VAAR), Buy American Act",Veterans Affairs Department,2018-01-05,,2018-02-05,VA-2018-VACO-0001-0082,1,federalregister
2018-00010,Procurement List; Proposed Deletions,Committee for Purchase From People Who Are Blind or Severely Disabled,2018-01-05,,2018-02-04,CPPBSD-2018-0002-0001,0,federalregister
2018-00007,Proposed Collection; Comment Request,Defense Department,2018-01-05,,2018-03-06,DOD-2017-HA-0065-0003,6,federalregister
2018-00021,Pesticide Product Registration; Receipt of Applications for New Active Ingredients,Environmental Protection Agency,2018-01-05,,2018-02-05,EPA-HQ-OPP-2017-0007-0009,0,federalregister
2018-00008,Agency Information Collection Activities; Proposed eCollection eComments Requested; Revision of a Currently Approved Collection; CJIS Name Check Form (1-791),Justice Department,2018-01-05,,2018-02-05,,0,federalregister
2018-00024,EPA Responses to Certain State Designation Recommendations for the 2015 Ozone National Ambient Air Quality Standards: Notice of Availability and Public Comment Period,Environmental Protection Agency,2018-01-05,,2018-02-05,EPA-HQ-OAR-2017-0548-0065,264,federalregister
2018-00045,"Idaho and Southwestern Montana (Beaverhead-Deerlodge, Boise, Caribou-Targhee, Salmon-Challis, and Sawtooth National Forests and Curlew National Grassland); Nevada (Humboldt-Toiyabe National Forest); Utah (Ashley, Dixie, Fishlake, Manti-La Sal, and Uinta-Wasatch-Cache National Forests); Wyoming (Bridger-Teton National Forest); and Wyoming/Colorado (Medicine Bow-Routt National Forest and Thunder Basin National Grassland) Amendments to Land Management Plans for Greater Sage-Grouse Conservation","Agriculture Department, Forest Service",2018-01-05,,2018-01-19,FS-2018-0003-0202,267,federalregister
2018-00046,Applications To Serve as Accountability Agents in the Asia Pacific Economic Cooperation (APEC) Privacy Recognition for Processors (PRP) System,"Commerce Department, International Trade Administration",2018-01-05,,2017-12-29,ITA_FRDOC_0001-4074,0,federalregister
2018-00033,Notice of Funding Opportunity for America's Marine Highway Projects,"Transportation Department, Maritime Administration",2018-01-05,https://www.regulations.gov/commenton/MARAD-2013-0011-0057,,MARAD-2013-0011-0057,0,federalregister
2018-00001,"Agency Information Collection Activity Under OMB Review: Department of Veterans Affairs Acquisition Regulation (VAAR), Simplified Acquisition Procedures",Veterans Affairs Department,2018-01-05,,2018-02-05,VA-2018-VACO-0001-0083,0,federalregister
2018-00004,Notice of Request for Information on the Department of Veterans Affairs Program of Comprehensive Assistance for Family Caregivers (PCAFC),Veterans Affairs Department,2018-01-05,,2018-02-05,VA-2018-VACO-0001-0003,308,federalregister
2018-00035,"Proposed Information Collection Request; Comment Request; Information Collection Activities Associated With EPA's ENERGY STAR Program in the Residential Sector, EPA ICR No. 2193.04",Environmental Protection Agency,2018-01-05,,2018-03-06,EPA-HQ-OAR-2004-0500-0074,1,federalregister
2018-00031,Request for Information-National Space Weather Action Plan,National Science Foundation,2018-01-05,,2018-03-06,NSF_FRDOC_0001-2024,12,federalregister
2018-00009,Notice of Permit Applications Received Under the Antarctic Conservation Act of 1978,National Science Foundation,2018-01-05,,2018-02-05,NSF_FRDOC_0001-2025,3,federalregister
2018-00014,Motor Carrier Safety Assistance Program Multi-Year Plans,"Transportation Department, Federal Motor Carrier Safety Administration",2018-01-05,,,FMCSA-2016-0325-0025,0,federalregister
2018-00025,"Approval of California Air Plan Revisions, Yolo-Solano Air Quality Management District",Environmental Protection Agency,2018-01-08,,2018-02-07,EPA-R09-OAR-2008-0612-0019,2,federalregister
2018-00115,Approval and Promulgation of State Plans for Designated Facilities and Pollutants; Colorado; Control of Emissions From Existing Commercial and Industrial Solid Waste Incineration Units,Environmental Protection Agency,2018-01-08,,2018-02-07,EPA-R08-OAR-2017-0552-0001,3,federalregister
2018-00129,"Notice of Intent of Waiver With Respect to Land; Akron-Canton Airport, North Canton, OH","Transportation Department, Federal Aviation Administration",2018-01-08,https://www.regulations.gov/commenton/FAA-2013-0259-1916,2018-02-07,FAA-2013-0259-1916,2,federalregister
2018-00122,Agency Information Collection Activities: Submission for OMB Review; Joint Comment Request,"Treasury Department, Comptroller of the Currency, Federal Reserve System, Federal Deposit Insurance Corporation",2018-01-08,,2018-02-07,FDIC-2018-0001-0001,0,federalregister
2017-28328,Rules and Policies To Promote New Entry and Ownership Diversity in the Broadcasting Services,Federal Communications Commission,2018-01-08,,2018-03-09,FCC-2018-0008-0001,0,federalregister
2018-00065,Fisheries of the Northeastern United States; Black Sea Bass Fishery; 2018 February Recreational Management Measures,"Commerce Department, National Oceanic and Atmospheric Administration",2018-01-08,,2018-01-23,NOAA-NMFS-2017-0151-0001,13,federalregister
2017-28222,Proposed Statement of Policy for Participation in the Conduct of the Affairs of an Insured Depository Institution by Persons Who Have Been Convicted or Have Entered a Pretrial Diversion or Similar Program for Certain Offenses Pursuant to Section 19 of the Federal Deposit Insurance Act,Federal Deposit Insurance Corporation,2018-01-08,,2018-03-09,FDIC-2018-0002-0001,0,federalregister
2018-00060,CDC Sex-Specific Body Mass Index (BMI)-For-Age Growth Charts,"Health and Human Services Department, Centers for Disease Control and Prevention",2018-01-08,,2018-03-09,,0,federalregister
2018-00083,Notice of Availability of the 2019-2024 Draft Proposed Outer Continental Shelf Oil and Gas Leasing Program and Notice of Intent To Prepare a Programmatic Environmental Impact Statement,"Interior Department, Ocean Energy Management Bureau",2018-01-08,,2018-03-09,,0,federalregister
2018-00108,Agency Information Collection Activities; Comment Request; Impact Evaluation of Departmentalized Instruction in Elementary Schools,Education Department,2018-01-08,,2018-03-09,ED-2018-ICCD-0001-0001,2,federalregister
2018-00100,Advanced Methods To Target and Eliminate Unlawful Robocalls,Federal Communications Commission,2018-01-08,,2018-01-23,FCC-2018-0010-0001,0,federalregister
2018-00095,Agency Information Collection Activities; Submission for Office of Management and Budget Review; Adverse Experience Reporting for Licensed Biological Products; and General Records,"Health and Human Services Department, Food and Drug Administration",2018-01-08,,2018-02-07,FDA-2011-N-0231-0009,0,federalregister
2018-00082,FY 2017 Annual Compliance Report,Postal Regulatory Commission,2018-01-08,,2018-02-01,,0,federalregister
2018-00061,Thirty Seventh RTCA SC-213 Enhanced Flight Vision Systems/Synthetic Vision Systems (EFVS/SVS) Plenary Joint With EUROCAE WG-79,"Transportation Department, Federal Aviation Administration",2018-01-08,,,FAA-2013-0259-1917,0,federalregister
2018-00128,"Notice of Intent of Waiver With Respect to Land; Akron-Canton Airport, North Canton, OH","Transportation Department, Federal Aviation Administration",2018-01-08,,2018-02-07,FAA-2013-0259-1915,2,federalregister
2018-00086,Agency Information Collection Activities: Proposed Collection; Comment Request,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2018-01-08,,2018-03-09,CMS-2018-0020-0001,7,federalregister
2018-00022,"Approval of California Air Plan Revisions, Yolo-Solano Air Quality Management District",Environmental Protection Agency,2018-01-09,,2018-02-08,EPA-R09-OAR-2017-0680-0001,1,federalregister
2018-00038,Oklahoma: Final Approval of State Underground Storage Tank Program Revisions and Incorporation by Reference,Environmental Protection Agency,2018-01-09,,2018-02-08,EPA-R06-UST-2017-0504-0002,3,federalregister
2017-27887,"Request for Information: Revisions to Personnel Regulations, Proficiency Testing Referral, Histocompatibility Regulations and Fee Regulations Under the Clinical Laboratory Improvement Amendments of 1988 (CLIA)","Health and Human Services Department, Centers for Medicare & Medicaid Services",2018-01-09,,2018-03-12,,0,federalregister
2018-00084,Fisheries Off West Coast States; Coastal Pelagic Species Fisheries; Multi-Year Annual Catch Limits for the Finfish Stocks in the Monitored Stock Category,"Commerce Department, National Oceanic and Atmospheric Administration",2018-01-09,,2018-02-08,NOAA-NMFS-2017-0155-0001,15,federalregister
2017-28304,Notice of Public Information Collection Requirements Submitted to OMB for Review,Agency for International Development,2018-01-09,,,AID-2021-0027-0018,0,federalregister
2018-00208,Endangered and Threatened Species; Recovery Plans,"Commerce Department, National Oceanic and Atmospheric Administration",2018-01-09,,2018-03-12,,0,federalregister
2018-00145,"Agency Information Collection Activities: Proposed Collection: Public Comment Request; Information Collection Request Title: Radiation Exposure Screening and Education Program, OMB No. 0906-0012-Revision","Health and Human Services Department, Health Resources and Services Administration",2018-01-09,,2018-03-12,,0,federalregister
2018-00191,Information Collection Being Reviewed by the Federal Communications Commission,Federal Communications Commission,2018-01-09,,2018-03-12,FCC-2018-0011-0001,0,federalregister
2018-00193,Information Collection Being Submitted for Review and Approval to the Office of Management and Budget,Federal Communications Commission,2018-01-09,,2018-02-08,FCC-2018-0012-0001,0,federalregister
2018-00006,Green & Secure Alternative Move Update Method Option,Postal Service,2018-01-09,,2018-02-08,USPS-2018-0036-0001,0,federalregister
2018-00165,Postal Service Performance Report and Performance Plan,Postal Regulatory Commission,2018-01-09,,2018-02-08,,0,federalregister
2018-00200,"Waiver of Aeronautical Land-Use Assurance: The Eastern Iowa Airport, (CID) Cedar Rapids, IA","Transportation Department, Federal Aviation Administration",2018-01-09,,2018-02-08,FAA-2013-0259-1919,0,federalregister
2018-00164,Notice and Request for Comments,Transportation Department,2018-01-09,,2018-03-12,NHTSA-2017-0106-0001,1,federalregister
2018-00026,Approval of Iowa's Air Quality Implementation Plan; Muscatine Sulfur Dioxide Nonattainment Area; Availability of Supplemental Information and Reopening of the Comment Period,Environmental Protection Agency,2018-01-09,,2018-02-08,EPA-R07-OAR-2017-0416-0021,8,federalregister
2018-00023,Air Plan Approval; Michigan Minor New Source Review,Environmental Protection Agency,2018-01-09,,2018-01-24,EPA-R05-OAR-2007-1092-0023,3,federalregister
2018-00175,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; The Title VI Undergraduate International Studies and Foreign Language (UISFL) Program Application,Education Department,2018-01-09,,2018-02-08,ED-2018-ICCD-0002-0001,2,federalregister
2018-00202,Agency Information Collection Activities: Submission for OMB Review; Comment Request,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2018-01-09,,2018-02-08,CMS-2018-0085-0001,0,federalregister
2018-00181,Agency Information Collection Activities: Submission for OMB Review; Comment Request,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2018-01-09,,2018-02-08,CMS-2018-0008-0001,0,federalregister
2018-00198,Agency Information Collection Activities: Proposed Collection; Comment Request,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2018-01-09,,2018-03-12,CMS-2018-0004-0002,0,federalregister
2018-00173,"Agency Information Collection Activities: Proposed Collection: Public Comment Request Information Collection Request Title: Small Health Care Provider Quality Improvement Program, OMB No. 0915-0387-Revision.","Health and Human Services Department, Health Resources and Services Administration",2018-01-09,,2018-03-12,,0,federalregister
2018-00174,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Workforce Innovation and Opportunity Act Common Performance Reporting,Labor Department,2018-01-09,,2018-02-08,DOL_FRDOC_0001-1164,12,federalregister
2018-00192,Information Collection Being Reviewed by the Federal Communications Commission,Federal Communications Commission,2018-01-09,,2018-03-12,FCC-2018-0013-0001,0,federalregister
2018-00234,"Agency Information Collection Activity Under OMB Review: Department of Veterans Affairs Acquisition Regulation (VAAR), Indemnification and Medical Liability Insurance; Indemnification and Medical Liability Insurance; and Report of Employment Under Commercial Activities",Veterans Affairs Department,2018-01-10,,2018-02-09,VA-2018-VACO-0001-0111,0,federalregister
2018-00292,Comment Sought on Draft Program Comment for the FCC's Review of Collocations on Certain Towers Constructed Without Documentation of Section 106 Review,Federal Communications Commission,2018-01-10,,2018-02-26,FCC-2018-0015-0001,0,federalregister
2018-00248,"Hours of Service of Drivers: Application for Exemption; STC, Inc.","Transportation Department, Federal Motor Carrier Safety Administration",2018-01-10,https://www.regulations.gov/commenton/FMCSA-2017-0373-0002,2018-02-09,FMCSA-2017-0373-0002,14,federalregister
2018-00265,National Summer Teacher Institute,"Commerce Department, Patent and Trademark Office",2018-01-10,,2018-03-12,PTO-C-2018-0008-0001,1,federalregister
2018-00233,Agency Information Collection Activity: DoD Referral to Integrated Disability Evaluation System (IDES),Veterans Affairs Department,2018-01-10,,2018-03-12,VA-2018-VACO-0001-0150,1,federalregister
2018-00235,"Agency Information Collection Activity: Department of Veterans Affairs Acquisition Regulation (VAAR), Security for Government Financing",Veterans Affairs Department,2018-01-10,,2018-03-12,VA-2018-VACO-0001-0152,0,federalregister
