document_number,title,agency,publication_date,comment_url,comments_close_on,regs_document_id,comment_count,source
2019-28379,"Notice of Intent To Repatriate Cultural Items: Thomas Burke Memorial Washington State Museum, University of Washington, Seattle, WA","Interior Department, National Park Service",2020-01-03,,2020-02-03,,0,federalregister
2019-28334,N-Methylpyrrolidone (NMP); Draft Toxic Substances Control Act (TSCA) Risk Evaluation; Notice of Availability; Extension of Comment Period,Environmental Protection Agency,2020-01-03,,2020-01-21,EPA-HQ-OPPT-2019-0236-0041,0,federalregister
2019-28409,Information Collections Being Reviewed by the Federal Communications Commission Under Delegated Authority,Federal Communications Commission,2020-01-03,,2020-03-03,FCC-2020-0003-0001,0,federalregister
2019-28419,Agency Information Collection Activities; Proposed Collection; Comment Request; Imports and Electronic Import Entries,"Health and Human Services Department, Food and Drug Administration",2020-01-03,,2020-03-03,FDA-2013-N-1423-0005,0,federalregister
2019-28428,30-Day Notice of Proposed Information Collection: Application for Distressed Cities Technical Assistance NOFA,Housing and Urban Development Department,2020-01-03,,2020-02-03,HUD-2019-0090-0002,0,federalregister
2019-28383,"Notice of Intent To Repatriate Cultural Items: State University of New York at Oswego, Oswego, NY","Interior Department, National Park Service",2020-01-03,,2020-02-03,,0,federalregister
2019-28377,"Notice of Intent To Repatriate Cultural Items: Abbe Museum, Bar Harbor, ME","Interior Department, National Park Service",2020-01-03,,2020-02-03,,0,federalregister
2019-28381,"Notice of Inventory Completion: Office of the State Archaeologist Bioarchaeology Program, University of Iowa, Iowa City, IA","Interior Department, National Park Service",2020-01-03,,2020-02-03,,0,federalregister
2019-28370,"Agency Information Collection Activities: Proposed Collection: Public Comment Request; Information Collection Request Title: Data System for Organ Procurement and Transplantation Network, OMB No. 0915-0157-Extension","Health and Human Services Department, Health Resources and Services Administration",2020-01-03,,2020-03-03,,0,federalregister
2019-28356,Prospective Grant of an Exclusive Patent License: Development and Commercialization of CD19/CD22 Chimeric Antigen Receptor (CAR) Therapies for the Treatment of B-Cell Malignancies,"Health and Human Services Department, National Institutes of Health",2020-01-03,,2020-01-21,,0,federalregister
2019-28388,"Security Zone; Cooper River; Charleston, SC","Homeland Security Department, Coast Guard",2020-01-03,,2020-01-21,USCG-2019-0933-0001,0,federalregister
2019-28324,Air Plan Approval; Nebraska; Lincoln-Lancaster County Health Department (LLCHD),Environmental Protection Agency,2020-01-03,,2020-02-03,EPA-R07-OAR-2019-0666-0001,2,federalregister
2019-28290,Transparency in Coverage,Health and Human Services Department,2020-01-03,,2020-01-29,HHS-OS-2022-0008-0568,0,federalregister
2019-27646,Protecting Against National Security Threats to the Communications Supply Chain Through FCC Programs,Federal Communications Commission,2020-01-03,,2020-02-03,FCC-2020-0005-0001,0,federalregister
2019-28371,"Porsche Cars North America, Inc., Receipt of Petition for Decision of Inconsequential Noncompliance","Transportation Department, National Highway Traffic Safety Administration",2020-01-03,,2020-02-03,NHTSA-2019-0094-0002,0,federalregister
2019-28376,"Notice of Inventory Completion: School of Social Science and Global Studies, University of Southern Mississippi, Hattiesburg, MS","Interior Department, National Park Service",2020-01-03,,2020-02-03,,0,federalregister
2019-28353,New Postal Products,Postal Regulatory Commission,2020-01-03,,2020-01-06,,0,federalregister
2019-28417,Office of Minority Health and Health Equity Strategic Priorities; Establishment of a Public Docket; Request for Comments,"Health and Human Services Department, Food and Drug Administration",2020-01-03,,2020-02-28,FDA-2019-N-4824-0001,60,federalregister
2019-28425,30-Day Notice of Proposed Information Collection: Survey of Market Absorption of New Multifamily Units (SOMA); OMB #2528-0013,Housing and Urban Development Department,2020-01-03,,2020-02-03,HUD-2007-0043-0010,0,federalregister
2019-28427,30-Day Notice of Proposed Information Collection: Opportunity Zone Grant Certification Form,Housing and Urban Development Department,2020-01-03,,2020-02-03,HUD-2019-0084-0002,0,federalregister
2019-28426,30-Day Notice of Proposed Information Collection: Continuum of Care Homeless Assistance-Technical Submission,Housing and Urban Development Department,2020-01-03,,2020-02-03,HUD-2009-0019-0013,0,federalregister
2019-28366,Agency Information Collection Activities; Request for Comments; Department of the Interior Regional Climate Adaptation Science Centers,"Interior Department, Geological Survey",2020-01-03,,2020-02-03,,0,federalregister
2019-28382,"Notice of Intent To Repatriate Cultural Items: Federal Bureau of Investigation, Art Theft Program, Washington, DC","Interior Department, National Park Service",2020-01-03,,2020-02-03,,0,federalregister
2019-28380,"Notice of Intent To Repatriate Cultural Items: Federal Bureau of Investigation, Art Theft Program, Washington, DC","Interior Department, National Park Service",2020-01-03,,2020-02-03,,0,federalregister
2019-28378,"Notice of Intent To Repatriate Cultural Items: San Diego Museum of Man, San Diego, CA","Interior Department, National Park Service",2020-01-03,,2020-02-03,,0,federalregister
2019-28369,Procurement List; Proposed Additions,Committee for Purchase From People Who Are Blind or Severely Disabled,2020-01-03,,2020-02-02,CPPBSD-2020-0001-0001,0,federalregister
2019-28408,Agency Information Collection Activities; Proposed Collection; Comment Request; Special Protocol Assessment; Guidance for Industry,"Health and Human Services Department, Food and Drug Administration",2020-01-03,,2020-03-03,FDA-2016-N-3535-0004,1,federalregister
2019-28367,Agency Information Collection Activities: Submission to OMB for Review and Approval; Public Comment Request; Countermeasures Injury Compensation Program OMB No. 0915-0334-Extension,"Health and Human Services Department, Health Resources and Services Administration",2020-01-03,,2020-02-03,,0,federalregister
2019-28368,Agency Information Collection Activities: Proposed Collection: Public Comment Request; Information Collection Request Title: The National Health Service Corps and Nurse Corps Interest Capture Form OMB No. 0915-0337-Extension,"Health and Human Services Department, Health Resources and Services Administration",2020-01-03,,2020-03-03,,0,federalregister
2019-28355,"Prospective Grant of an Exclusive Patent License: Use of the CD47 Phosphorodiamidate Morpholino Oligomers for the Treatment, Prevention, and Diagnosis of Solid Tumors","Health and Human Services Department, National Institutes of Health",2020-01-03,,2020-01-21,,0,federalregister
2019-28373,"Great Dane Trailers, LLC, Receipt of Petition for Decision of Inconsequential Noncompliance","Transportation Department, National Highway Traffic Safety Administration",2020-01-03,https://www.regulations.gov/commenton/NHTSA-2018-0108-0002,2020-02-03,NHTSA-2018-0108-0002,1,federalregister
2019-28372,"Toyota Motor North America, Inc., Receipt of Petition for Decision of Inconsequential Noncompliance","Transportation Department, National Highway Traffic Safety Administration",2020-01-03,,2020-02-03,NHTSA-2019-0098-0002,3,federalregister
2019-27922,Revised Public Utility Filing Requirements for Electric Quarterly Reports,"Energy Department, Federal Energy Regulatory Commission",2020-01-03,,,,0,federalregister
2019-27261,Federal Government Participation in the Automated Clearing House,"Treasury Department, Fiscal Service",2020-01-03,,2020-02-03,FISCAL-2019-0001-0001,3,federalregister
2019-28424,Fisheries of the Northeastern United States; Omnibus Deep-Sea Coral Amendment,"Commerce Department, National Oceanic and Atmospheric Administration",2020-01-03,,2020-02-18,NOAA-NMFS-2019-0092-0009,18,federalregister
2019-28438,"Information Collection: NRC Form 314, Certificate of Disposition of Materials",Nuclear Regulatory Commission,2020-01-06,,2020-02-05,NRC-2019-0066-0005,0,federalregister
2019-28458,New Postal Products,Postal Regulatory Commission,2020-01-06,,2020-01-07,,0,federalregister
2019-28475,Privacy Act of 1974; Matching Program,Social Security Administration,2020-01-06,,2020-02-05,SSA-2019-0006-0001,1,federalregister
2019-28502,CISA Reporting Forms,Homeland Security Department,2020-01-06,,2020-02-05,CISA-2020-0001-0001,0,federalregister
2019-28523,60-Day Notice of Proposed Information Collection: Section 8 Moderate Rehabilitation Single Room Occupancy (SRO) Program,Housing and Urban Development Department,2020-01-06,,2020-03-06,HUD-2020-0002-0001,0,federalregister
2019-28526,"60-Day Notice of Proposed Information Collection: 24 CFR Part 55, Floodplain Management and Protection of Wetlands",Housing and Urban Development Department,2020-01-06,,2020-03-06,HUD-2020-0007-0001,0,federalregister
2019-28525,60-Day Notice of Proposed Information Collection: Continuum of Care Recordkeeping,Housing and Urban Development Department,2020-01-06,,2020-03-06,HUD-2020-0001-0001,0,federalregister
2019-28528,60-Day Notice of Proposed Information Collection: Federal Labor Standards Payee Verification and Payment Processing; OMB Control #2501-0021,Housing and Urban Development Department,2020-01-06,,2020-03-06,HUD-2020-0006-0001,0,federalregister
2019-28522,60-Day Notice of Proposed Information Collection: Housing Counseling Federal Advisory Committee (HCFAC); OMB Control #2502-0606,Housing and Urban Development Department,2020-01-06,,2020-03-06,HUD-2020-0005-0001,0,federalregister
2019-28527,"60-Day Notice of Proposed Information Collection: 24 CFR part 58, Environmental Review Procedures for Entities Assuming HUD Environmental Responsibilities; OMB Control #2506-0087",Housing and Urban Development Department,2020-01-06,,2020-03-06,HUD-2020-0003-0001,0,federalregister
2019-28529,60-Day Notice of Proposed Information Collection: Federal Labor Standards Questionnaire and Compliant Intake Form; OMB Control #2501-0018,Housing and Urban Development Department,2020-01-06,,2020-03-06,HUD-2020-0004-0001,0,federalregister
2019-28477,Agency Information Collection Activities: Submission for OMB Review; Comment Request,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2020-01-06,,2020-02-05,CMS-2019-0129-0011,0,federalregister
2019-27607,Modernizing Unbundling and Resale Requirements in an Era of Next-Generation Networks and Services,Federal Communications Commission,2020-01-06,,2020-02-05,FCC-2020-0006-0001,0,federalregister
2019-28472,"FCA US, LLC, Receipt of Petition for Decision of Inconsequential Noncompliance","Transportation Department, National Highway Traffic Safety Administration",2020-01-06,,2020-02-05,NHTSA-2019-0097-0002,1,federalregister
2019-27915,High-3 Calculation for Privatized Senate Restaurant Civil Service Retirement System and Federal Employees' Retirement System Employees and Annuitants,Personnel Management Office,2020-01-06,,2020-03-06,OPM_FRDOC_0001-1531,1,federalregister
2019-28354,Airworthiness Directives; Airbus Helicopters,"Transportation Department, Federal Aviation Administration",2020-01-06,,2020-03-06,FAA-2019-1019-0001,0,federalregister
2019-28352,Endangered and Threatened Wildlife and Plants; Removing the Kanab Ambersnail From the List of Endangered and Threatened Wildlife,"Interior Department, Fish and Wildlife Service",2020-01-06,,2020-03-06,FWS-R6-ES-2019-0055-0001,7,federalregister
2019-28457,FY 2019 Annual Compliance Report,Postal Regulatory Commission,2020-01-06,,2020-01-30,,0,federalregister
2019-28485,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Coal Management; Control Number 1004-0073,"Interior Department, Land Management Bureau",2020-01-06,,2020-02-05,,0,federalregister
2019-28487,"Application to Export Electric Energy; Frontera Marketing, LLC",Energy Department,2020-01-06,,2020-02-05,DOE-HQ-2020-0012-0001,1,federalregister
2019-28474,"Jayco, Inc, Receipt of Petition for Decision of Inconsequential Noncompliance","Transportation Department, National Highway Traffic Safety Administration",2020-01-06,,2020-02-05,NHTSA-2019-0078-0002,0,federalregister
2020-00002,Submission for OMB Review; Patents,"Defense Department, General Services Administration, National Aeronautics and Space Administration",2020-01-07,,2020-02-06,DOD-2020-OS-0002-0001,0,federalregister
2020-00039,"Agency Information Collection Activities; Submission for Office of Management and Budget Review; Comment Request; Center for Tobacco Products, Food and Drug Administration Funded Trainee/Scholar Survey","Health and Human Services Department, Food and Drug Administration",2020-01-07,,2020-02-06,FDA-2019-N-3885-0002,1,federalregister
2019-27609,"All-Digital AM Broadcasting, Revitalization of the AM Radio Service",Federal Communications Commission,2020-01-07,,2020-03-09,FCC-2020-0008-0001,0,federalregister
2019-27573,District Financial Reporting,Farm Credit Administration,2020-01-07,,2020-03-09,FCA-2020-0002-0001,0,federalregister
2020-00018,Proposed Information Collections; Comment Request (No. 77),"Treasury Department, Alcohol and Tobacco Tax and Trade Bureau",2020-01-07,,2020-03-09,,0,federalregister
2020-00042,Agency Information Collection Activities; Proposed Collection; Comment Request; Index of Legally Marketed Unapproved New Animal Drugs for Minor Species,"Health and Human Services Department, Food and Drug Administration",2020-01-07,,2020-03-09,FDA-2010-N-0597-0009,1,federalregister
2020-00034,Agency Information Collection Activities; Proposed Collection; Comment Request; Recommendations To Reduce the Risk of Transfusion-Transmitted of Infection in Whole Blood and Blood Components; Agency Guidance,"Health and Human Services Department, Food and Drug Administration",2020-01-07,,2020-03-09,FDA-2019-N-5971-0001,0,federalregister
2020-00041,Agency Information Collection Activities; Proposed Collection; Comment Request; Advisory Committee Nomination Applications,"Health and Human Services Department, Food and Drug Administration",2020-01-07,,2020-03-09,FDA-2017-N-0366-0005,2,federalregister
2019-26931,Applications and Amendments to Facility Operating Licenses and Combined Licenses Involving Proposed No Significant Hazards Considerations and Containing Sensitive Unclassified Non-Safeguards Information and Safeguards Information and Order Imposing Procedures for Access to Sensitive Unclassified Non-Safeguards Information and Safeguards Information,Nuclear Regulatory Commission,2020-01-07,,2020-02-06,NRC-2019-0241-0001,3,federalregister
2020-00004,Proposed Information Collection; Comment Request; Large Pelagic Fishing Survey,"Commerce Department, National Oceanic and Atmospheric Administration",2020-01-07,,2020-03-09,,0,federalregister
2019-28430,Cable Service Change Notifications; Modernization of Media Regulation Initiative; Retransmission Consent,Federal Communications Commission,2020-01-07,,2020-02-06,FCC-2020-0009-0001,0,federalregister
2020-00005,Proposed Information Collection; Comment Request; Applications and Reports for Registration as a Tanner or Agent,"Commerce Department, National Oceanic and Atmospheric Administration",2020-01-07,,2020-03-09,,0,federalregister
2019-27714,NASA Federal Acquisition Regulation Supplement: Detection and Avoidance of Counterfeit Parts (NFS Case 2017-N010),National Aeronautics and Space Administration,2020-01-07,,2020-03-09,NASA-2020-0004-0001,5,federalregister
2020-00011,Proposed Information Collection; Comment Request; Housing Vacancy Survey,"Commerce Department, Census Bureau",2020-01-07,,2020-03-09,USBC-2019-0012-0001,2,federalregister
2020-00006,Proposed Information Collection; Comment Request; West Coast Swordfish Fishery Survey,"Commerce Department, National Oceanic and Atmospheric Administration",2020-01-07,,2020-03-09,,0,federalregister
2019-27211,Replica Motor Vehicles; Vehicle Identification Number (VIN) Requirements; Manufacturer Identification; Certification,"Transportation Department, National Highway Traffic Safety Administration",2020-01-07,,2020-02-06,NHTSA-2019-0121-0001,23,federalregister
2020-00019,Solicitation for Nominations for Members of the U.S. Preventive Services Task Force (USPSTF),"Health and Human Services Department, Agency for Healthcare Research and Quality",2020-01-07,,,AHRQ-2022-0004-0775,0,federalregister
2020-00033,Cooperative Research and Development Agreement-Shipboard Information Technology Network Optimization,"Homeland Security Department, Coast Guard",2020-01-07,,2020-02-06,USCG-2019-0879-0001,1,federalregister
2019-28538,Endangered and Threatened Species; Take of Anadromous Fish,"Commerce Department, National Oceanic and Atmospheric Administration",2020-01-07,,2020-02-06,,0,federalregister
2019-28510,Notice of Availability of Draft NPDES Great Bay Total Nitrogen General Permit for Wastewater Treatment Facilities in New Hampshire,Environmental Protection Agency,2020-01-07,,2020-03-09,EPA_FRDOC_0001-24914,1,federalregister
2020-00037,Information Collection Being Reviewed by the Federal Communications Commission Under Delegated Authority,Federal Communications Commission,2020-01-07,,2020-03-09,FCC-2020-0010-0001,0,federalregister
2020-00008,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request,Federal Trade Commission,2020-01-07,,2020-02-06,FTC-2020-0001-0001,8,federalregister
2019-28074,"Employment Contracts, Mutual to Stock Conversions, Technical Amendments","Treasury Department, Comptroller of the Currency",2020-01-08,,2020-03-09,OCC-2018-0041-0001,4,federalregister
2020-00064,Agency Information Collection Activities; Comment Request; Job Corps Application Data,"Labor Department, Employment and Training Administration",2020-01-08,,2020-03-09,,0,federalregister
2020-00079,"Information Collection Request Submitted to OMB for Review and Approval; Comment Request; Oil Pollution Prevention; Spill Prevention, Control, and Countermeasure (SPCC) Plans (Renewal)",Environmental Protection Agency,2020-01-08,,2020-02-07,EPA-HQ-OPA-2007-0584-0297,4,federalregister
2020-00078,Information Collection Request Submitted to OMB for Review and Approval; Comment Request; Tips and Complaints Regarding Environmental Violations (Renewal),Environmental Protection Agency,2020-01-08,,2020-02-07,EPA-HQ-OECA-2009-0494-0011,2,federalregister
2020-00104,Supplemental Evidence and Data Request on Treatments for Acute Pain: A Systematic Review,"Health and Human Services Department, Agency for Healthcare Research and Quality",2020-01-08,,,AHRQ-2022-0004-0776,0,federalregister
2020-00051,Certain Corrosion-Resistant Steel Products From the Republic of Korea: Correction to Affirmative Final Determinations of Anti-Circumvention Inquiries on the Antidumping Duty and Countervailing Duty Orders,"Commerce Department, International Trade Administration",2020-01-08,,,ITA-2020-0003-0014,0,federalregister
2020-00074,Agency Information Collection Activities; Proposed Collection; Comment Request; Focus Groups as Used by the Food and Drug Administration (All Food and Drug Administration-Regulated Products),"Health and Human Services Department, Food and Drug Administration",2020-01-08,,2020-03-09,FDA-2019-N-6098-0001,3,federalregister
2020-00091,Drug Products Labeled as Homeopathic; Draft Guidance for Food and Drug Administration Staff and Industry; Extension of Comment Period,"Health and Human Services Department, Food and Drug Administration",2020-01-08,,2020-03-23,FDA-2017-D-6580-5125,0,federalregister
2020-00072,"Alaco, Inc., et al.; Proposal To Withdraw Approval of Seven New Animal Drug Applications; Opportunity for a Hearing","Health and Human Services Department, Food and Drug Administration",2020-01-08,,2020-03-09,FDA-2019-N-5405-0001,2,federalregister
2020-00070,"Certificates of Confidentiality; Guidance for Sponsors, Sponsor-Investigators, Researchers, Industry, and Food and Drug Administration Staff; Extension of Comment Period","Health and Human Services Department, Food and Drug Administration",2020-01-08,,2020-01-24,FDA-2019-D-3592-0005,0,federalregister
2020-00047,"Agency Information Collection Activities; Proposed Collection; Comment Request; Donor Risk Assessment Questionnaire for the Food and Drug Administration/National Heart, Lung, and Blood Institute-Sponsored Transfusion-Transmissible Infections Monitoring System-Risk Factor Elicitation","Health and Human Services Department, Food and Drug Administration",2020-01-08,,2020-03-09,FDA-2016-N-2836-0011,2,federalregister
2020-00071,Modernizing the Food and Drug Administration's Data Strategy; Public Meeting; Request for Comments,"Health and Human Services Department, Food and Drug Administration",2020-01-08,,,FDA-2019-N-5799-0001,38,federalregister
2019-28061,Modifications to Pressure-Temperature Limits,Nuclear Regulatory Commission,2020-01-08,,,,0,federalregister
2019-28489,National Service Criminal History Check,Corporation for National and Community Service,2020-01-08,,2020-03-09,CNCS-2020-0001-0001,289,federalregister
2019-28462,Endangered and Threatened Wildlife and Plants; Endangered Status for the Sierra Nevada Distinct Population Segment of the Sierra Nevada Red Fox,"Interior Department, Fish and Wildlife Service",2020-01-08,,2020-03-09,FWS-R8-ES-2019-0006-0001,27,federalregister
2020-00068,Proposed Information Collection; Comment Request; Voluntary Self-Disclosure of Violations of the Export Administration Regulations,"Commerce Department, Industry and Security Bureau",2020-01-08,,2020-03-09,,0,federalregister
2020-00069,Proposed Information Collection; Comment Request; Voluntary Self-Disclosure of Antiboycott Violations,"Commerce Department, Industry and Security Bureau",2020-01-08,,2020-03-09,,0,federalregister
2019-28461,Endangered and Threatened Wildlife and Plants; Threatened Species Status for the Hermes Copper Butterfly With 4(d) Rule and Designation of Critical Habitat,"Interior Department, Fish and Wildlife Service",2020-01-08,,2020-03-09,FWS-R8-ES-2017-0053-0001,466,federalregister
2019-28075,Cross-Border Application of the Registration Thresholds and Certain Requirements Applicable to Swap Dealers and Major Swap Participants,Commodity Futures Trading Commission,2020-01-08,,2020-03-09,CFTC-2020-0001-0001,0,federalregister
2020-00077,Information Collection Request Submitted to OMB for Review and Approval; Comment Request; NSPS for Sewage Sludge Treatment Plants (Renewal),Environmental Protection Agency,2020-01-08,,2020-02-07,EPA-HQ-OECA-2013-0310-0008,1,federalregister
2020-00058,Agency Information Collection Activities: Submission for OMB Review; Comment Request (OMB No. 3064-0029; -0030; -0070; -0104; -0204),Federal Deposit Insurance Corporation,2020-01-08,,2020-02-07,FDIC-2020-0001-0001,0,federalregister
2020-00073,Agency Information Collection Activities; Submission for Office of Management and Budget Review; Comment Request; Animal Feed Regulatory Program Standards,"Health and Human Services Department, Food and Drug Administration",2020-01-08,,2020-02-07,FDA-2013-N-0764-0014,1,federalregister
2020-00053,"BNSF Railway Bridge Across the Missouri River at Bismarck, North Dakota; Preparation of Environmental Impact Statement","Homeland Security Department, Coast Guard",2020-01-08,,2020-02-24,USCG-2019-0882-0001,123,federalregister
2019-28532,Proposed Priorities-Competitive Grants for State Assessments,Education Department,2020-01-08,,2020-02-07,ED-2019-OESE-0147-0001,10,federalregister
2019-28505,Seamless Changes for Detached Mail Unit (DMU) and Full-Service Mailings,Postal Service,2020-01-08,,2020-02-07,USPS-2020-0007-0001,0,federalregister
2020-00054,"Arizona Public Service Company; Palo Verde Nuclear Generating Station, Units 1, 2, and 3; Extend Implementation Times",Nuclear Regulatory Commission,2020-01-08,,2020-02-07,NRC-2019-0254-0001,0,federalregister
2020-00055,Agency Information Collection Activity: (Complaint of Employment Discrimination; Information for Pre-Complaint Processing),Veterans Affairs Department,2020-01-08,,2020-03-09,VA-2020-VACO-0001-0001,0,federalregister
2019-28442,Air Plan Approval; California; San Joaquin Valley Unified Air Pollution Control District,Environmental Protection Agency,2020-01-09,,2020-02-10,EPA-R09-OAR-2019-0693-0001,10,federalregister
2020-00120,"Fresenius USA, Inc., et al.; Proposal To Withdraw Approval of 249 Abbreviated New Drug Applications; Opportunity for a Hearing","Health and Human Services Department, Food and Drug Administration",2020-01-09,,2020-03-09,FDA-2019-N-5254-0001,1,federalregister
2020-00164,Agency Information Collection Activities; National Park Service Common Learning Portal,"Interior Department, National Park Service",2020-01-09,,2020-03-09,,0,federalregister
2020-00175,Reporting and Recordkeeping Requirements Under OMB Review,Small Business Administration,2020-01-09,,2020-02-10,,0,federalregister
