document_number,title,agency,publication_date,comment_url,comments_close_on,regs_document_id,comment_count,source
2016-31715,Requests for Approving Certain Alternative Methods for Computing Withdrawal Liability; Settlement of Withdrawal and Mass Withdrawal Liability,Pension Benefit Guaranty Corporation,2017-01-05,,2017-02-21,PBGC-2017-0001-0001,7,federalregister
2016-32053,FY 2016 Annual Compliance Report,Postal Regulatory Commission,2017-01-06,,2017-02-02,,0,federalregister
2016-32054,Agency Information Collection Activities: Submission for OMB Review; Comment Request; FEMA Preparedness Grants: Port Security Grant Program (PSGP),"Homeland Security Department, Federal Emergency Management Agency",2017-01-06,,2017-02-06,FEMA-2016-0027-0003,0,federalregister
2017-00002,"Proposed Bakersfield Habitat Conservation Plan/Natural Community Conservation Plan, California; Scoping for Environmental Impact Statement","Interior Department, Fish and Wildlife Service",2017-01-06,,2017-02-21,,0,federalregister
2016-31736,"Notice of Availability and Notice of Public Meetings for the Draft Environmental Impact Statement for the Pojoaque Basin Regional Water System, Santa Fe County, New Mexico","Interior Department, Reclamation Bureau",2017-01-06,,2017-02-27,,0,federalregister
2016-31763,Endangered and Threatened Wildlife and Plants; Reclassifying Echinocereus fendleri var. kuenzleri From Endangered to Threatened,"Interior Department, Fish and Wildlife Service",2017-01-06,,2017-03-07,FWS-R2-ES-2016-0137-0001,13,federalregister
2016-31947,Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to Long Range Strike Weapons Systems Evaluations Program,"Commerce Department, National Oceanic and Atmospheric Administration",2017-01-06,,2017-02-06,,0,federalregister
2016-32049,"Fisheries of the Caribbean, Gulf of Mexico, and South Atlantic; Snapper-Grouper Fishery Off the South Atlantic States; Amendment 43","Commerce Department, National Oceanic and Atmospheric Administration",2017-01-06,,2017-02-06,,0,federalregister
2016-31946,Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to Fishery-Independent Monitoring Activities,"Commerce Department, National Oceanic and Atmospheric Administration",2017-01-06,,2017-02-06,,0,federalregister
2017-00049,Proposed Collection; Comment Request,Defense Department,2017-01-06,,2017-03-07,DOD-2017-HA-0001-0001,0,federalregister
2016-31963,Airworthiness Directives; Dassault Aviation Airplanes,"Transportation Department, Federal Aviation Administration",2017-01-06,,2017-02-21,FAA-2016-9569-0001,0,federalregister
2016-31964,Airworthiness Directives; The Boeing Company Airplanes,"Transportation Department, Federal Aviation Administration",2017-01-06,,2017-02-21,FAA-2016-9570-0001,1,federalregister
2016-31599,Chapter 4 Regulations Relating to Verification and Certification Requirements for Certain Entities and Reporting by Foreign Financial Institutions,"Treasury Department, Internal Revenue Service",2017-01-06,,,IRS-2017-0001-0002,4,federalregister
2016-31957,General Provisions; Electronic Cigarettes,"Interior Department, National Park Service",2017-01-06,,2017-03-07,NPS-2017-0001-0001,19,federalregister
2016-31921,Addition of Natural Gas Processing Facilities to the Toxics Release Inventory (TRI),Environmental Protection Agency,2017-01-06,,2017-05-06,EPA-HQ-TRI-2016-0390-0001,5932,federalregister
2016-31764,Endangered and Threatened Wildlife and Plants; Removing Eriogonum gypsophilum From the Federal List of Endangered and Threatened Plants,"Interior Department, Fish and Wildlife Service",2017-01-06,,2017-03-07,FWS-R2-ES-2016-0119-0001,11,federalregister
2017-00023,Notice of Permit Modification Received Under the Antarctic Conservation Act of 1978,National Science Foundation,2017-01-06,,2017-02-06,NSF_FRDOC_0001-1836,1,federalregister
2017-00024,Postal Service Performance Report and Performance Plan,Postal Regulatory Commission,2017-01-06,,2017-02-08,,0,federalregister
2017-00006,Agency Information Collection Activities: Submission for OMB Review; Comment Request; FEMA's Grants Reporting Tool (GRT),"Homeland Security Department, Federal Emergency Management Agency",2017-01-06,,2017-02-06,FEMA-2016-0028-0002,0,federalregister
2017-00011,Hours of Service of Drivers: Dillon Transportation LLC; Application for Exemption,"Transportation Department, Federal Motor Carrier Safety Administration",2017-01-06,,2017-02-06,FMCSA-2016-0443-0001,10,federalregister
2017-00010,Commercial Driver's License Standards: Application for Exemption; Daimler Trucks North America (Daimler),"Transportation Department, Federal Motor Carrier Safety Administration",2017-01-06,,2017-02-06,FMCSA-2012-0032-0046,2,federalregister
2016-32052,Agency Information Collection Activities: Submission for OMB Review; Comment Request; Environmental and Historic Preservation Screening Form,"Homeland Security Department, Federal Emergency Management Agency",2017-01-06,,2017-02-06,FEMA-2016-0026-0002,0,federalregister
2016-32055,Agency Information Collection Activities: Submission for OMB Review; Comment Request; FEMA Preparedness Grants: Transit Security Grant Program (TSGP),"Homeland Security Department, Federal Emergency Management Agency",2017-01-06,,2017-02-06,FEMA-2016-0029-0002,0,federalregister
2016-29990,Energy Conservation Program: Energy Conservation Standards for Consumer Central Air Conditioners and Heat Pumps,Energy Department,2017-01-06,,2017-04-26,EERE-2014-BT-STD-0048-0103,7,federalregister
2016-31960,Airworthiness Directives; Airbus Airplanes,"Transportation Department, Federal Aviation Administration",2017-01-06,,2017-02-21,FAA-2016-9567-0001,3,federalregister
2016-31589,Revision of Regulations Under Chapter 3 Regarding Withholding of Tax on Certain U.S. Source Income Paid to Foreign Persons,"Treasury Department, Internal Revenue Service",2017-01-06,,,IRS-2017-0002-0001,8,federalregister
2016-31408,Endangered and Threatened Wildlife and Plants; Removal of the Lesser Long-Nosed Bat From the Federal List of Endangered and Threatened Wildlife,"Interior Department, Fish and Wildlife Service",2017-01-06,,2017-03-07,FWS-R2-ES-2016-0138-0001,15,federalregister
2017-00061,Information Collection; Significant Cave Nomination,"Agriculture Department, Forest Service",2017-01-06,,2017-03-07,FS-2017-0003-0001,2,federalregister
2017-00053,"Colusa-Sutter 500-Kilovolt Transmission Line Project, Colusa, Sutter, Yolo and Sacramento Counties, California","Energy Department, Western Area Power Administration",2017-01-06,,2017-03-07,WAPA_FRDOC_0001-0259,0,federalregister
2017-00056,"Proposed Consent Decree, Clean Air Act Citizen Suit",Environmental Protection Agency,2017-01-06,,2017-02-06,EPA-HQ-OGC-2016-0778-0001,12,federalregister
2017-00004,Proposed Data Collection Submitted for Public Comment and Recommendations,"Health and Human Services Department, Centers for Disease Control and Prevention",2017-01-06,,2017-03-07,,0,federalregister
2017-00003,Proposed Data Collection Submitted for Public Comment and Recommendations,"Health and Human Services Department, Centers for Disease Control and Prevention",2017-01-06,,2017-03-07,,0,federalregister
2017-00013,Announcement Type: Notice and Request for Information,"Treasury Department, Community Development Financial Institutions Fund",2017-01-09,,2017-03-10,CDFI_FRDOC_0001-0033,4,federalregister
2017-00104,Exposure of Underground Miners to Diesel Exhaust,"Labor Department, Mine Safety and Health Administration",2017-01-09,,2018-01-09,MSHA-2014-0031-0076,97,federalregister
2017-00105,Proximity Detection Systems for Mobile Machines in Underground Mines,"Labor Department, Mine Safety and Health Administration",2017-01-09,,2017-02-08,MSHA-2014-0019-0122,0,federalregister
2017-00050,Nondiscrimination in Programs or Activities Receiving Federal Assistance From the Environmental Protection Agency,Environmental Protection Agency,2017-01-09,,,,0,federalregister
2017-00162,Air Quality Plans; Tennessee; Infrastructure Requirements for the 2012 PM2.5 National Ambient Air Quality Standard,Environmental Protection Agency,2017-01-09,,2017-02-08,EPA-R04-OAR-2014-0430-0001,0,federalregister
2016-31636,"Approval of Arizona Air Plan Revisions; Ajo and Morenci, Arizona; Second 10-Year Sulfur Dioxide Maintenance Plans and Technical Correction",Environmental Protection Agency,2017-01-09,,2017-02-08,EPA-R09-OAR-2016-0287-0001,0,federalregister
2017-00110,Agency Information Collection Activities; Proposed eCollection eComments Requested; Application for Federal Firearms License (ATF F 7(5310.12)/7 CR (5310.16)),"Justice Department, Alcohol, Tobacco, Firearms, and Explosives Bureau",2017-01-09,,2017-02-08,,0,federalregister
2017-00134,Qualification of Drivers; Exemption Applications; Vision,"Transportation Department, Federal Motor Carrier Safety Administration",2017-01-09,,,FMCSA-2000-7006-0107,0,federalregister
2017-00132,Qualification of Drivers; Exemption Applications; Epilepsy and Seizure Disorders,"Transportation Department, Federal Motor Carrier Safety Administration",2017-01-09,,2017-02-08,FMCSA-2013-0442-0008,0,federalregister
2017-00174,Comprehensive Centers Program; CFDA Number: 84.283B,Education Department,2017-01-09,,2017-02-08,,0,federalregister
2017-00095,Determination of Regulatory Review Period for Purposes of Patent Extension; ADYNOVATE,"Health and Human Services Department, Food and Drug Administration",2017-01-09,,2017-07-10,FDA-2016-E-1196-0005,1,federalregister
2017-00277,Agency Information Collection Activities: Submission to OMB for Review and Approval; Public Comment Request; Advanced Education Nursing Traineeship (AENT) Program Specific Data Collection Forms,"Health and Human Services Department, Health Resources and Services Administration",2017-01-09,,2017-02-08,,0,federalregister
2017-00155,Revision of Agency Information Collection Activity Under OMB Review: Security Threat Assessment for Individuals Applying for a Hazardous Materials Endorsement for a Commercial Driver's License,"Homeland Security Department, Transportation Security Administration",2017-01-09,,2017-02-08,TSA-2003-14610-0157,2,federalregister
2017-00163,60-Day Notice of Proposed Information Collection: Supportive Services Demonstration Resident Assessment Form,Housing and Urban Development Department,2017-01-09,,2017-03-10,HUD-2017-0002-0001,0,federalregister
2017-00154,Proposed Information Collection; Comment Request; Computer and Internet Use Supplement to the Census Bureau's Current Population Survey,"Commerce Department, National Telecommunications and Information Administration",2017-01-09,,2017-03-10,,0,federalregister
2017-00173,Proposed Collection; Comment Request,"Defense Department, Army Department",2017-01-09,,2017-03-10,USA-2017-HQ-0001-0001,1,federalregister
2017-00085,Agency Information Collection Activities: Submission for OMB Review; Joint Comment Request,"Treasury Department, Comptroller of the Currency, Federal Reserve System, Federal Deposit Insurance Corporation",2017-01-09,,2017-02-08,FRS-2017-0004-0001,0,federalregister
2016-31742,Mallows Bay-Potomac River National Marine Sanctuary; Notice of Proposed Rulemaking and Availability of Draft Environmental Impact Statement and Management Plan,"Commerce Department, National Oceanic and Atmospheric Administration",2017-01-09,,2017-03-31,NOAA-NOS-2016-0149-0001,1123,federalregister
2016-31741,Wisconsin-Lake Michigan National Marine Sanctuary; Notice of Proposed Rulemaking and Availability of Draft Environmental Impact Statement and Management Plan,"Commerce Department, National Oceanic and Atmospheric Administration",2017-01-09,,2017-03-31,NOAA-NOS-2016-0150-0001,570,federalregister
