document_number,title,agency,publication_date,comment_url,comments_close_on,regs_document_id,comment_count,source
2019-00757,"Agency Information Collection Activities; Proposed eCollection eComments Requested; Extension With Change, of a Previously Approved Collection; Applications for Special Deputation","Justice Department, United States Marshals Service",2019-02-01,,2019-03-04,,0,federalregister
2019-00658,Air Plan Approval; Rhode Island; Infrastructure State Implementation Plan Requirements for the 2012 PM2.5 NAAQS,Environmental Protection Agency,2019-02-01,,2019-03-04,EPA-R01-OAR-2017-0443-0001,2,federalregister
2019-00788,Water Carrier Tariff Filing Procedures,Surface Transportation Board,2019-02-01,,2019-03-04,STB-2019-0004-0001,0,federalregister
2019-00783,Proposed Information Collection; Comment Request; Quarterly Summary of State & Local Government Tax Revenues,"Commerce Department, Census Bureau",2019-02-01,,2019-04-02,,0,federalregister
2018-27924,Fund of Funds Arrangements,Securities and Exchange Commission,2019-02-01,,2019-05-02,SEC-2019-0055-0001,0,federalregister
2019-00736,Procurement List; Proposed Additions and Deletions,Committee for Purchase From People Who Are Blind or Severely Disabled,2019-02-01,,2019-03-03,CPPBSD-2019-0002-0001,0,federalregister
2019-00611,Patents External Quality Survey,"Commerce Department, Patent and Trademark Office",2019-02-01,,2019-04-02,PTO-P-2019-0003-0001,0,federalregister
2018-28206,VA Acquisition Regulation: Competition Requirements,Veterans Affairs Department,2019-02-01,,2019-04-02,VA-2019-OTHER-0005-0001,7,federalregister
2019-00681,S11 Nonclinical Safety Testing in Support of Development of Pediatric Medicines; International Council for Harmonisation; Draft Guidance for Industry; Availability,"Health and Human Services Department, Food and Drug Administration",2019-02-01,,2019-04-02,FDA-2018-D-4524-0001,4,federalregister
2019-00634,Proposed Collection; Comment Request for Form 4136,"Treasury Department, Internal Revenue Service",2019-02-01,,2019-04-02,,0,federalregister
2019-00738,Proposed Collection; Comment Request for Form 7004,"Treasury Department, Internal Revenue Service",2019-02-01,,2019-04-02,,0,federalregister
2019-00731,Proposed Collection; Comment Request for Form 8038-CP,"Treasury Department, Internal Revenue Service",2019-02-01,,2019-04-02,,0,federalregister
2019-00663,Proposed Collection; Comment Request for Form 15058,"Treasury Department, Internal Revenue Service",2019-02-01,,2019-04-02,,0,federalregister
2019-00772,Proposed Collection; Comment Request for Form 8281,"Treasury Department, Internal Revenue Service",2019-02-01,,2019-04-02,,0,federalregister
2019-00719,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Customer Identification Program for Futures Commission Merchants and Introducing Brokers in Commodities,Treasury Department,2019-02-01,,2019-03-04,,0,federalregister
2019-00577,Submission for OMB Review; Comment Request,"Defense Department, Army Department",2019-02-01,,2019-03-04,USA-2018-HQ-0025-0002,0,federalregister
2019-00608,Privacy Act of 1974; System of Records,Defense Department,2019-02-01,,2019-03-04,DOD-2019-OS-0003-0001,0,federalregister
2019-00697,"Notice of Intent/NEPA Scoping Meeting and Public Comment Period for the Chesapeake Bay Native Oyster Recovery Program, Virginia","Defense Department, Engineers Corps",2019-02-01,,2019-03-01,COE-2019-0001-0002,0,federalregister
2019-00580,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Student Assistance General Provisions-Annual Fire Safety Report,Education Department,2019-02-01,,2019-03-04,ED-2018-ICCD-0118-0005,0,federalregister
2019-00709,Request for Information on Conceptual Public Private Partnership (P3) Delivery of Specific U.S. Army Corps of Engineers Civil Works Projects,"Defense Department, Engineers Corps",2019-02-01,,2019-04-02,COE-2019-0001-0001,0,federalregister
2019-00739,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; OESE Performance Review and Self-Assessment Protocol,Education Department,2019-02-01,,2019-03-04,ED-2018-ICCD-0124-0004,0,federalregister
2019-00795,"Submission for OMB Review; Federal Management Regulation; State Agency Monthly Donation Report of Surplus Property, GSA Form 3040",General Services Administration,2019-02-01,,2019-03-04,GSA-GSA-2018-0001-0048,0,federalregister
2019-00794,"Submission for OMB Review; Transfer Order-Surplus Personal Property and Continuation Sheet, Standard Form (SF) 123",General Services Administration,2019-02-01,,2019-03-04,GSA-GSA-2018-0001-0049,0,federalregister
2019-00619,Guidance Related to Section 951A (Global Intangible Low-Taxed Income); Hearing,"Treasury Department, Internal Revenue Service",2019-02-01,,,,0,federalregister
2019-00250,Removing Inability To Communicate in English as an Education Category,Social Security Administration,2019-02-01,,2019-04-02,SSA-2017-0046-0001,216,federalregister
2019-00704,Investing in Qualified Opportunity Funds; Hearing,"Treasury Department, Internal Revenue Service",2019-02-01,,2018-12-28,IRS-2018-0013-0035,1,federalregister
2019-00656,Air Plan Approval; Connecticut; Motor Vehicle Inspection and Maintenance Program Certification,Environmental Protection Agency,2019-02-01,,2019-03-04,EPA-R01-OAR-2016-0168-0024,0,federalregister
2019-00781,Air Plan Approval; Kentucky: Jefferson County Prevention of Significant Deterioration,Environmental Protection Agency,2019-02-01,,2019-03-04,EPA-R04-OAR-2018-0018-0001,0,federalregister
2019-00657,Air Plan Approval; Massachusetts; Regional Haze Five-Year Progress Report State Implementation Plan,Environmental Protection Agency,2019-02-01,,2019-03-04,EPA-R01-OAR-2018-0791-0001,1,federalregister
2019-00584,"Agency Information Collection Activities; Extension, Without Change, of a Currently Approved Collection: Interagency Alien Witness and Informant Record","Homeland Security Department, U.S. Citizenship and Immigration Services",2019-02-01,,2019-04-02,USCIS-2006-0062-0029,0,federalregister
2019-00601,"Agency Information Collection Activities; Extension, Without Change, of a Currently Approved Collection: Request for Verification of Naturalization","Homeland Security Department, U.S. Citizenship and Immigration Services",2019-02-01,,2019-03-04,USCIS-2005-0036-0021,0,federalregister
2019-00602,"Agency Information Collection Activities; Extension, Without Change, of a Currently Approved Collection: Refugee/Asylee Relative Petition","Homeland Security Department, U.S. Citizenship and Immigration Services",2019-02-01,,2019-03-04,USCIS-2007-0030-0022,0,federalregister
2019-00547,"Submission for Renewal of a Previously Approved Information Collection: Interview Survey Form, INV 10",Personnel Management Office,2019-02-01,,2019-04-02,OPM_FRDOC_0001-1435,0,federalregister
2019-00722,Agency Information Collection Activities: Requests for Comments; Clearance of Renewed Approval of Information Collection: Survey of Airmen Satisfaction With Aeromedical Certification Services,"Transportation Department, Federal Aviation Administration",2019-02-01,,2019-04-02,FAA-2013-0259-2561,0,federalregister
2019-00741,Petition for Exemption; Summary of Petition Received; Bryan A. Gutraj,"Transportation Department, Federal Aviation Administration",2019-02-01,,2019-02-21,FAA-2018-0966-0002,0,federalregister
2019-00761,"Notice of Intent of Waiver With Respect to Land; Cuyahoga County Airport, Richmond Heights, Ohio","Transportation Department, Federal Aviation Administration",2019-02-01,https://www.regulations.gov/commenton/FAA-2013-0259-2559,2019-03-04,FAA-2013-0259-2559,0,federalregister
2019-00744,Paperwork Reduction Act 60-Day Notice; Request for Comments,"Transportation Department, National Highway Traffic Safety Administration",2019-02-01,,2019-04-02,NHTSA-2018-0094-0001,0,federalregister
2019-00742,Paperwork Reduction Act 60-Day Notice; Request for Comments,"Transportation Department, National Highway Traffic Safety Administration",2019-02-01,https://www.regulations.gov/commenton/NHTSA-2018-0093-0001,2019-04-02,NHTSA-2018-0093-0001,0,federalregister
2019-00728,Proposed Collection; Comment Request for Form 5316,"Treasury Department, Internal Revenue Service",2019-02-01,,2019-04-02,,0,federalregister
2019-00578,Agency Information Collection Activities: Submission for OMB Review; Comment Request,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2019-02-01,,2019-03-04,CMS-2018-0127-0004,0,federalregister
2019-00677,Rare Diseases: Common Issues in Drug Development; Draft Guidance for Industry; Availability,"Health and Human Services Department, Food and Drug Administration",2019-02-01,,2019-04-02,FDA-2015-D-2818-0022,9,federalregister
2019-00749,Survey Methodologies To Assess Risk Evaluation and Mitigation Strategies Goals That Relate to Knowledge; Draft Guidance for Industry; Availability,"Health and Human Services Department, Food and Drug Administration",2019-02-01,,2019-04-02,FDA-2018-D-4629-0001,6,federalregister
2019-00600,Agency Information Collection Activities; Revision of a Currently Approved Collection: Request for Hearing on a Decision in Naturalization Proceedings Under Section 336,"Homeland Security Department, U.S. Citizenship and Immigration Services",2019-02-01,,2019-04-02,USCIS-2007-0020-0074,0,federalregister
2019-00543,"Submission for OMB Review, Comment Request, Proposed Collection: 2019-2021 IMLS Grant Performance Report Forms","National Foundation on the Arts and the Humanities, Institute of Museum and Library Services",2019-02-01,,2019-02-28,ARTS-2019-0002-0001,0,federalregister
2019-00589,Agency Information Collection Activities; Revision of a Currently Approved Collection: Notice of Naturalization Oath Ceremony,"Homeland Security Department, U.S. Citizenship and Immigration Services",2019-02-01,,2019-04-02,USCIS-2006-0055-0011,5,federalregister
2019-00792,Air Plan Approval; Georgia: Permit Exemption for Fire Fighting Equipment,Environmental Protection Agency,2019-02-01,,2019-03-04,EPA-R04-OAR-2018-0064-0001,0,federalregister
2019-00782,Approval of State Plans for Designated Facilities and Pollutants; Missouri; Diammonium Phosphate Fertilizer Units,Environmental Protection Agency,2019-02-01,,2019-03-04,EPA-R07-OAR-2018-0837-0001,0,federalregister
2019-00632,Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to the U.S. Navy Training and Testing Activities in the Atlantic Fleet Training and Testing Study Area,"Commerce Department, National Oceanic and Atmospheric Administration",2019-02-01,,2019-03-04,,0,federalregister
2019-00558,Agency Information Collection Activities: Proposed Collection Renewal; Comment Request (OMB No. 3064-0178),Federal Deposit Insurance Corporation,2019-02-01,,2019-04-02,FDIC-2019-0006-0001,0,federalregister
2019-00633,"Environmental Assessment (EA) for the Proposed New Space Lease for the Geophysical Fluid Dynamics Laboratory in Princeton, NJ","Commerce Department, National Oceanic and Atmospheric Administration",2019-02-01,,2019-03-04,,0,federalregister
2019-00575,Submission for OMB Review; Comment Request,"Defense Department, Army Department",2019-02-01,,2019-03-04,USA-2018-HQ-0026-0002,0,federalregister
2019-00459,Refinements to Horizontal Market Power Analysis for Sellers in Certain Regional Transmission Organization and Independent System Operator Markets,"Energy Department, Federal Energy Regulatory Commission",2019-02-01,,2019-03-18,FERC-2019-0055-0001,0,federalregister
2019-00683,Proposed Collection; Comment Request for Sch. F (Form 1040),"Treasury Department, Internal Revenue Service",2019-02-01,,2019-04-02,,0,federalregister
2019-00776,Proposed Collection; Comment Request for Form 8613,"Treasury Department, Internal Revenue Service",2019-02-01,,2019-04-02,,0,federalregister
